urun_puan,ekran_ekran_boyutu,ekran_ekran_teknolojisi,ekran_ekran_çözünürlüğü_standardı,ekran_ekran_yenileme_hızı,batarya_batarya_kapasitesi_tipik,batarya_hızlı_şarj,batarya_hızlı_şarj_gücü_maks.,batarya_kablosuz_şarj,kamera_kamera_çözünürlüğü,kamera_optik_görüntü_sabitleyici_ois,kamera_video_kayıt_çözünürlüğü,kamera_video_fps_değeri,kamera_ön_kamera_çözünürlüğü,temel_donanim_cpu_çekirdeği,temel_donanim_cpu_üretim_teknolojisi,temel_donanim_antutu_puanı_v10,temel_donanim_bellek_ram,temel_donanim_dahili_depolama,tasarim_kalınlık,tasarim_ağırlık,tasarim_gövde_malzemesi_kapak,ağ_bağlantilari_5g,ağ_bağlantilari_4.5g_desteği,ağ_bağlantilari_4g,ağ_bağlantilari_2g,ağ_bağlantilari_3g,kablosuz_bağlantilar_bluetooth_versiyonu,kablosuz_bağlantilar_nfc,i̇şleti̇m_si̇stemi̇_i̇şletim_sistemi,özelli̇kler_suya_dayanıklılık
90.0,6.9,OLED,FHD+,120.0,4832.0,1,40.0,1,48.0,1.0,2160p (Ultra HD) 4K,60.0,18.0,6.0,3.0,2697900.0,12.0,256.0,8.75,231.0,Cam,0.0,1,1,1,1,6.0,1.0,iOS,1.0
70.0,6.1,OLED,FHD+,60.0,3349.0,1,20.0,1,48.0,1.0,2160p (Ultra HD) 4K,60.0,12.0,6.0,4.0,1753700.0,6.0,128.0,7.8,171.0,Cam,0.0,1,1,1,1,5.3,1.0,iOS,1.0
74.0,6.7,Dynamic AMOLED,FHD+,120.0,4900.0,1,45.0,1,50.0,1.0,4320p (Ultra HD) 8K,30.0,12.0,10.0,4.0,1810600.0,8.0,256.0,7.4,190.0,Cam,0.0,1,1,1,1,5.4,1.0,Android,1.0
82.0,6.3,OLED,FHD+,120.0,3692.0,1,40.0,1,48.0,1.0,2160p (Ultra HD) 4K,60.0,18.0,6.0,3.0,2542200.0,8.0,256.0,7.95,177.0,Cam,0.0,1,1,1,1,6.0,1.0,iOS,1.0
89.0,6.83,AMOLED,FHD+,144.0,5500.0,1,90.0,1,50.0,1.0,4320p (Ultra HD) 8K,30.0,32.0,8.0,3.0,2393700.0,12.0,512.0,7.96,210.0,Fiberglass,0.0,1,1,1,1,6.0,1.0,Android,1.0
65.0,6.7,Super AMOLED,FHD+,120.0,5000.0,1,45.0,0,50.0,1.0,2160p (Ultra HD) 4K,30.0,12.0,8.0,4.0,910.5,8.0,256.0,7.4,198.0,Cam,0.0,1,1,1,1,5.3,1.0,Android,1.0
89.0,6.3,OLED,FHD+,120.0,3988.0,1,40.0,1,48.0,1.0,2160p (Ultra HD) 4K,60.0,18.0,6.0,3.0,2430600.0,12.0,256.0,8.75,204.0,Cam,0.0,1,1,1,1,6.0,1.0,iOS,1.0
97.0,6.78,AMOLED,FHD+,120.0,7500.0,1,80.0,1,50.0,1.0,2160p (Ultra HD) 4K,60.0,50.0,8.0,3.0,2719600.0,16.0,512.0,8.25,224.0,Unknown,0.0,1,1,1,1,6.0,1.0,Android,1.0
75.0,6.1,OLED,FHD+,60.0,3561.0,1,25.0,1,48.0,1.0,2160p (Ultra HD) 4K,60.0,12.0,6.0,3.0,1517700.0,8.0,128.0,7.8,170.0,Cam,0.0,1,1,1,1,5.3,1.0,iOS,1.0
87.0,6.83,AMOLED,FHD+,144.0,5500.0,1,90.0,1,50.0,1.0,4320p (Ultra HD) 8K,30.0,32.0,8.0,3.0,2393700.0,12.0,256.0,7.96,210.0,Fiberglass,0.0,1,1,1,1,6.0,1.0,Android,1.0
